City,Date,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene
Ahmedabad,02-01-2015,0.97,15.69,16.46,0.97,24.55,34.06,3.68,5.5,3.77
Ahmedabad,04-01-2015,1.7,18.48,17.97,1.7,18.59,36.08,4.43,10.14,1.0
Ahmedabad,16-07-2015,0.64,8.07,8.57,0.64,16.31,8.02,1.63,4.34,0.28
Ahmedabad,17-07-2015,0.6,8.02,8.51,0.6,18.93,6.2,1.52,3.74,0.29
Ahmedabad,18-07-2015,0.65,8.0,8.55,0.65,18.99,7.97,1.23,4.74,0.12
Ahmedabad,19-07-2015,0.72,7.89,8.56,0.72,11.28,10.18,0.61,3.85,0.08
Ahmedabad,20-07-2015,0.55,8.1,8.49,0.55,10.29,7.44,0.52,2.31,0.06
Ahmedabad,21-07-2015,0.67,7.9,8.43,0.67,1.28,6.3,5.0,21.75,1.54
Ahmedabad,22-07-2015,0.55,8.28,8.42,0.55,14.58,2.6,2.81,14.53,1.87
Ahmedabad,23-07-2015,0.1,9.73,7.88,0.1,13.62,4.87,1.44,5.22,0.38
Ahmedabad,24-07-2015,0.06,9.57,7.77,0.06,13.58,5.08,1.37,3.65,0.32
Ahmedabad,25-07-2015,0.14,8.64,7.97,0.14,15.11,5.34,0.36,1.05,0.14
Ahmedabad,26-07-2015,0.18,8.78,8.16,0.18,11.52,2.79,0.52,1.23,0.22
Ahmedabad,27-07-2015,1.52,9.45,9.74,1.52,11.23,4.61,1.29,3.29,0.15
Ahmedabad,30-10-2015,2.31,18.33,20.64,2.31,19.08,42.43,3.47,10.25,1.12
Ahmedabad,31-10-2015,1.22,12.1,13.32,1.22,13.73,61.56,1.9,4.5,0.22
Ahmedabad,17-04-2020,4.22,25.97,12.68,0.36,18.03,37.28,3.22,22.59,1.83
Ahmedabad,19-04-2020,3.66,13.93,9.31,0.36,21.0,40.56,1.67,14.29,0.95
Ahmedabad,20-04-2020,3.91,15.77,10.58,0.34,25.22,38.31,2.27,15.74,1.02
Ahmedabad,21-04-2020,3.41,16.32,10.46,0.39,19.16,38.23,2.33,17.57,1.5
Ahmedabad,24-04-2020,3.52,16.13,9.85,0.28,20.59,51.81,1.78,9.02,0.67
Ahmedabad,25-04-2020,4.83,13.88,10.25,0.38,16.51,41.74,1.17,9.32,0.56
Ahmedabad,26-04-2020,4.78,13.82,10.29,0.4,10.58,44.44,1.8,10.39,0.75
Ahmedabad,01-05-2020,2.83,13.32,8.6,0.54,26.36,49.97,1.59,15.82,0.92
Ahmedabad,02-05-2020,3.68,15.16,10.09,0.56,25.87,55.72,1.55,10.29,0.65
Ahmedabad,03-05-2020,4.69,16.38,11.49,0.64,22.71,54.35,2.83,16.27,0.89
Ahmedabad,04-05-2020,4.85,15.87,11.36,0.73,20.04,58.72,2.38,16.23,0.9
Ahmedabad,06-06-2020,3.91,39.76,22.28,0.71,14.4,40.28,8.11,25.23,3.18
Ahmedabad,07-06-2020,5.19,34.11,20.48,0.82,13.05,36.32,6.71,20.69,3.63
Ahmedabad,08-06-2020,4.88,28.47,17.52,0.57,11.6,30.16,7.93,20.35,3.84
Ahmedabad,09-06-2020,5.23,25.68,16.39,0.86,12.69,39.69,4.48,18.91,3.27
Amaravati,08-12-2017,5.56,54.87,33.71,0.27,22.97,68.6,0.36,6.28,0.21
Amaravati,09-12-2017,6.1,44.97,28.88,0.09,21.9,60.62,0.26,4.79,0.16
Amaravati,10-12-2017,1.73,33.85,19.41,0.1,13.65,68.15,0.2,4.29,0.1
Amaravati,11-12-2017,4.93,41.64,26.15,0.16,18.37,73.75,0.23,5.51,0.16
Amaravati,12-12-2017,7.97,42.1,28.88,0.24,7.42,44.67,0.28,7.01,0.19
Amaravati,13-12-2017,7.2,34.78,24.36,0.15,5.81,50.16,0.24,6.11,0.14
Amaravati,14-12-2017,5.81,29.97,20.67,0.14,5.8,55.0,0.23,5.09,0.14
Amaravati,16-12-2017,8.77,40.92,28.84,0.17,8.51,73.17,0.24,4.41,0.13
Amaravati,17-12-2017,7.29,47.05,30.94,0.08,16.05,70.74,0.31,4.32,0.24
Amaravati,18-12-2017,7.63,53.94,33.45,0.11,14.05,59.2,0.26,3.77,0.19
Amaravati,19-12-2017,2.74,43.09,21.78,0.13,15.45,66.9,0.28,3.13,0.18
Amaravati,20-12-2017,6.77,47.47,30.74,0.3,13.35,77.54,0.29,3.7,0.15
Amaravati,23-12-2017,5.24,42.0,26.6,0.15,11.85,73.09,0.31,3.9,0.17
Amaravati,24-12-2017,3.75,47.68,28.41,0.22,10.85,62.78,0.34,4.81,0.29
Amaravati,25-12-2017,1.69,31.06,17.89,0.1,12.23,76.07,0.33,3.96,0.16
Amaravati,26-12-2017,4.97,43.54,27.2,0.17,18.07,64.6,0.33,4.01,0.16
Amaravati,27-12-2017,9.59,63.48,41.57,0.23,17.01,63.87,0.38,4.1,0.36
